source,target,distance
I,最高,0.37499606256177986
I,ない,0.4013559055419643
I,落ち着く,0.4211361752523915
although,不安,0.333372794225101
although,成長,0.44934601458783474
although,複雑,0.4702361151956429
am,混乱,0.05188688434324895
am,the,0.276918073130174
am,やめる,0.3024167860792236
anxious,やめる,0.26301926912195106
anxious,am,0.3230227752249764
anxious,混乱,0.3263051879435501
but,でも,0.31560692771422505
but,で,0.4165453633039314
but,集中,0.5518789236292598
calm,rewarding,0.15257457670523283
calm,それでも,0.16501982582935873
calm,緊張,0.1743409677225695
continue,なのに,0.10098814934088761
continue,still,0.1835671750425643
continue,relieved,0.20819474824755685
difficult,なんか,0.08135140605005824
difficult,止まる,0.22732979766321632
difficult,okay,0.2413715239715076
even,keep,0.3759790210661889
even,楽しい,0.5791283545130187
even,難しい,0.6051150029814629
fun,いい,0.07739402819425148
fun,進む,0.1373958594172427
fun,最高,0.24816000789722456
going,それでも,0.14602692669444126
going,緊張,0.19776922997134957
going,calm,0.24043078715791627
hand,むしろ,0.2979531286047046
hand,めっちゃ,0.3013975004292361
hand,面白い,0.30208601955365466
happy,続ける,0.22128641073751318
happy,悲しい,0.35385510794625746
happy,quit,0.415389829477162
hard,も,0.19232016448787304
hard,going,0.2708502756636261
hard,それでも,0.3773409559529796
however,最悪,0.005660682934762467
however,on,0.1487180252963167
however,どちら,0.31854710889232213
interesting,少し,0.33004049380448947
interesting,to,0.38678538710178795
interesting,集中,0.47405605472985296
is,どちら,0.0972922915229723
is,other,0.18834022816218868
is,最悪,0.3198331618833486
keep,even,0.3759790210661889
keep,難しい,0.40473178167155344
keep,楽しい,0.42360767070618044
motivated,前向き,0.18236112087289913
motivated,therefore,0.34442924346807396
motivated,to,0.4798062560387161
okay,止まる,0.06516942733810478
okay,なんか,0.22914775123608813
okay,difficult,0.2413715239715076
on,however,0.1487180252963167
on,最悪,0.1506851453991854
on,is,0.3660662290551098
other,どちら,0.09157858015226152
other,is,0.18834022816218868
other,研究,0.19286415398483836
painful,therefore,0.16098271962345376
painful,は,0.19893093156965921
painful,前向き,0.3534842832144047
quit,悲しい,0.12340567469476144
quit,sad,0.1300829401271168
quit,though,0.23652096813554147
relieved,なのに,0.18120500591207025
relieved,continue,0.20819474824755685
relieved,still,0.22090210820697367
research,なんか,0.29621856342786645
research,difficult,0.30779933252843356
research,anxious,0.43632536886400053
rewarding,calm,0.15257457670523283
rewarding,緊張,0.22100092886510952
rewarding,微妙,0.2276584703674125
sad,though,0.11129954619675855
sad,quit,0.1300829401271168
sad,悲しい,0.14248641718968216
so,集中,0.23927392436343414
so,でも,0.34985995045726354
so,挑戦,0.45612667999610007
still,continue,0.1835671750425643
still,relieved,0.22090210820697367
still,なのに,0.2590075609796225
the,普通,0.23773861676407265
the,am,0.276918073130174
the,やめる,0.2821604910124233
therefore,painful,0.16098271962345376
therefore,前向き,0.21952333210624167
therefore,は,0.2704966094252155
though,sad,0.11129954619675855
though,疲れる,0.1915843000792395
though,逃げる,0.20642515713542076
tired,研究,0.026833452148801968
tired,other,0.19368271705397214
tired,どちら,0.27827741910706133
to,少し,0.0777086046755321
to,する,0.32855347541327923
to,interesting,0.38678538710178795
want,言え,0.3690242688117739
want,逃げる,0.5071087958089794
want,difficult,0.5322306162019397
いい,fun,0.07739402819425148
いい,進む,0.1698410978792501
いい,最高,0.23005003752329228
けど,落ち着く,0.14051838806945538
けど,つまり,0.23951161206227314
けど,複雑,0.24467968447512065
しかし,最高,0.2301315386591241
しかし,で,0.32511867085560064
しかし,続ける,0.40797739616122897
する,私,0.13414749790301692
する,to,0.32855347541327923
する,少し,0.38075141440902094
それでも,緊張,0.0529024754212894
それでも,going,0.14602692669444126
それでも,calm,0.16501982582935873
だから,迷う,0.07645163463412136
だから,面白い,0.1763593874321559
だから,むしろ,0.31171391152894884
ちょっと,進む,0.19523509764431154
ちょっと,今日,0.301908673018129
ちょっと,fun,0.3091214992953595
つまり,複雑,0.1886741277187507
つまり,けど,0.23951161206227314
つまり,落ち着く,0.2912189488757877
で,でも,0.29699461314497705
で,しかし,0.32511867085560064
で,but,0.4165453633039314
でも,で,0.29699461314497705
でも,but,0.31560692771422505
でも,so,0.34985995045726354
どちら,other,0.09157858015226152
どちら,is,0.0972922915229723
どちら,研究,0.27302171034852835
ない,quit,0.37599404543814186
ない,落ち着く,0.4010492279719384
ない,I,0.4013559055419643
なのに,continue,0.10098814934088761
なのに,relieved,0.18120500591207025
なのに,still,0.2590075609796225
なんか,difficult,0.08135140605005824
なんか,okay,0.22914775123608813
なんか,止まる,0.23775043383590866
は,painful,0.19893093156965921
は,普通,0.23440980647743334
は,therefore,0.2704966094252155
むしろ,面白い,0.22398756620491475
むしろ,迷う,0.2758307702651487
むしろ,hand,0.2979531286047046
めっちゃ,面白い,0.20157636526617484
めっちゃ,迷う,0.25630797780253994
めっちゃ,hand,0.3013975004292361
も,hard,0.19232016448787304
も,going,0.3117670474807088
も,それでも,0.3432257241465959
やめる,anxious,0.26301926912195106
やめる,the,0.2821604910124233
やめる,am,0.3024167860792236
一方,混乱,0.3256111298773419
一方,am,0.37667615164551593
一方,安心,0.4005998566307586
不安,複雑,0.29196685773214714
不安,although,0.333372794225101
不安,けど,0.3544482294318405
今日,ちょっと,0.301908673018129
今日,挑戦,0.3451471825534207
今日,進む,0.4641454057189325
前向き,motivated,0.18236112087289913
前向き,therefore,0.21952333210624167
前向き,painful,0.3534842832144047
嬉しい,成長,0.10897519880934774
嬉しい,めっちゃ,0.5399801312137366
嬉しい,although,0.5446090883273634
安心,なんか,0.3190576902929404
安心,anxious,0.3610306789136234
安心,okay,0.3841022569348949
少し,to,0.0777086046755321
少し,interesting,0.33004049380448947
少し,する,0.38075141440902094
微妙,calm,0.18947710717039873
微妙,rewarding,0.2276584703674125
微妙,それでも,0.3526395942633292
悲しい,quit,0.12340567469476144
悲しい,sad,0.14248641718968216
悲しい,though,0.2438150567142087
成長,嬉しい,0.10897519880934774
成長,although,0.44934601458783474
成長,めっちゃ,0.622758943389823
挑戦,今日,0.3451471825534207
挑戦,so,0.45612667999610007
挑戦,is,0.5315152160876813
普通,難しい,0.17150353373143806
普通,楽しい,0.22691533612169676
普通,は,0.23440980647743334
最悪,however,0.005660682934762467
最悪,on,0.1506851453991854
最悪,どちら,0.31296317395312595
最高,いい,0.23005003752329228
最高,しかし,0.2301315386591241
最高,fun,0.24816000789722456
楽しい,難しい,0.0680336887371625
楽しい,普通,0.22691533612169676
楽しい,は,0.28206115441079144
止まる,okay,0.06516942733810478
止まる,difficult,0.22732979766321632
止まる,なんか,0.23775043383590866
混乱,am,0.05188688434324895
混乱,一方,0.3256111298773419
混乱,the,0.3260129107156951
疲れる,頑張る,0.12046116518610717
疲れる,though,0.1915843000792395
疲れる,sad,0.23729416894453323
研究,tired,0.026833452148801968
研究,other,0.19286415398483836
研究,どちら,0.27302171034852835
私,する,0.13414749790301692
私,rewarding,0.28460352413417217
私,緊張,0.3534659308343241
続ける,happy,0.22128641073751318
続ける,しかし,0.40797739616122897
続ける,I,0.49828399424781983
緊張,それでも,0.0529024754212894
緊張,calm,0.1743409677225695
緊張,going,0.19776922997134957
苦しい,前向き,0.4735925892585236
苦しい,する,0.5243164472650466
苦しい,motivated,0.5654035163747413
落ち着く,けど,0.14051838806945538
落ち着く,つまり,0.2912189488757877
