token,count
I,12
although,1
am,9
anxious,1
but,14
calm,1
continue,1
difficult,2
even,1
fun,2
going,1
hand,1
happy,3
hard,2
however,2
interesting,2
is,6
keep,1
motivated,1
okay,1
on,1
other,1
painful,1
quit,1
relieved,1
research,6
rewarding,1
sad,3
so,1
still,1
the,1
therefore,1
though,1
tired,4
to,2
want,2
いい,1
けど,9
しかし,1
する,3
それでも,1
だから,1
ちょっと,1
つまり,1
で,2
でも,1
どちら,1
ない,2
なのに,1
なんか,1
は,22
むしろ,1
めっちゃ,2
も,1
やめる,1
一方,1
不安,1
今日,9
前向き,1
嬉しい,4
安心,2
少し,1
微妙,1
悲しい,6
成長,1
挑戦,1
普通,1
最悪,1
最高,1
楽しい,7
止まる,1
混乱,1
疲れる,4
研究,7
私,6
続ける,1
緊張,1
苦しい,5
落ち着く,1
複雑,1
言え,1
諦める,1
迷う,1
逃げる,1
進む,1
集中,1
難しい,3
面白い,2
頑張る,2
